0464	background	wait -n with nothing to wait for
0465	background	wait with jobspec syntax %nonexistent
0466	background	wait with invalid PID
0467	background	wait with invalid arg
0468	background	wait for N parallel jobs
0469	background	wait for N parallel jobs and check failure
0470	background	Builtin in background
0471	background	External command in background
0472	background	Start background pipeline, wait $pid
0473	background	Start background pipeline, wait %job_spec
0474	background	Wait for job and PIPESTATUS
0475	background	Wait for job and PIPESTATUS - cat
0476	background	Brace group in background, wait all
0477	background	Wait on background process PID
0478	background	Wait on multiple specific IDs returns last status
0479	background	wait -n
0480	background	Async for loop
0481	background	Background process doesn't affect parent
0482	background	Background process and then a singleton pipeline
0483	background	jobs prints one line per job
0484	background	jobs -p prints one line per job
0485	background	No stderr spew when shell is not interactive
0486	background	YSH wait --all
0487	background	YSH wait --verbose
0488	background	Signal message for killed background job
0489	ble-features	[bash_unset] local-unset / dynamic-unset for localvar
0490	ble-features	[bash_unset] local-unset / dynamic-unset for localvar (mutated from tempenv)
0491	ble-features	[bash_unset] local-unset / dynamic-unset for tempenv
0492	ble-features	[bash_unset] function call with tempenv vs tempenv-eval
0493	ble-features	[bash_unset] localvar-inherit from tempenv
0494	ble-features	[compat_array] ${arr} is ${arr[0]}
0495	ble-features	[compat_array] scalar write to arrays
0496	ble-features	[compat_array] scalar write to associative arrays
0497	ble-features	[compat_array] ${alpha@a}
0498	ble-idioms	recursive arith: one level
0499	ble-idioms	recursive arith: two levels
0500	ble-idioms	recursive arith: short circuit &&, ||
0501	ble-idioms	recursive arith: short circuit ?:
0502	ble-idioms	recursive arith: side effects
0503	ble-idioms	recursive arith: recursion
0504	ble-idioms	recursive arith: array elements
0505	ble-idioms	dynamic arith varname: assign
0506	ble-idioms	dynamic arith varname: read
0507	ble-idioms	dynamic arith varname: copy/add
0508	ble-idioms	is-array with ${var@a}
0509	ble-idioms	Sparse array with big index
0510	ble-idioms	shift unshift reverse
0511	ble-idioms	shopt -u expand_aliases and eval
0512	ble-idioms	Issue #1069 [40] BUG: a=(declare v); "${a[@]}" fails
0513	ble-idioms	Issue #1069 [40] BUG: a=declare; "$a" v=1 fails
0514	ble-idioms	Issue #1069 [49] BUG: \return 0 does not work
0515	ble-idioms	Issue #1069 [49] BUG: \return 0 does not work (other variations)
0516	ble-idioms	Issue #1069 [52] BUG: \builtin local v=1 fails
0517	ble-idioms	Issue #1069 [53] BUG: a[1 + 1]=2, etc. fails
0518	ble-idioms	Issue #1069 [53] - LHS array parsing a[1 + 2]=3 (see spec/array-assign for more)
0519	ble-idioms	Issue #1069 [56] BUG: declare -p unset does not print any error message
0520	ble-idioms	Issue #1069 [57] BUG: variable v is invisible after IFS= eval 'local v=...'
0521	ble-idioms	Issue #1069 [57] - Variable v should be visible after IFS= eval 'local v=...'
0522	ble-idioms	Issue #1069 [59] N-I: arr=s should set RHS to arr[0]
0523	ble-idioms	Issue #1069 [59] - Assigning Str to BashArray/BashAssoc should not remove BashArray/BashAssoc
0524	ble-unset	[bash_unset] nested context by tempenv-eval
0525	ble-unset	[bash_unset] local-unset / dynamic-unset for localvar on nested-context
0526	ble-unset	[bash_unset] dynamic-unset for nested localvars
0527	ble-unset	[bash_unset] dynamic-unset for nested tempenvs
0528	ble-unset	[bash_unset] local-unset for nested tempenvs
0529	blog-other1	Blog Post Example
0530	blog-other1	Blog Post Example Fix
0531	blog-other1	Rewrite of Blog Post Example
0532	blog-other1	Simpler example
0533	blog-other1	` after here doc delimiter
0534	blog-other1	` on its own line
0535	blog1	${##}
0536	blog1	${###}
0537	blog1	${####}
0538	blog1	${##2}
0539	blog1	${###2}
0540	blog1	${1####}
0541	blog1	${1#'###'}
0542	blog1	${#1#'###'}
0543	blog1	Julia example from spec/oil-user-feedback
0544	blog2	-a
0545	blog2	-a -a
0546	blog2	-a -a -a
0547	blog2	-a -a -a -a
0548	blog2	-a -a -a -a -a
0549	blog2	-a -a -a -a -a -a
0550	blog2	-a -a -a -a -a -a -a
0551	blog2	-a -a -a -a -a -a -a -a
0552	bool-parse	test builtin - Unexpected trailing word '--' (#2409)
0553	bool-parse	test builtin: ( = ) is confusing: equality test or non-empty string test
0554	bool-parse	test builtin: ( == ) is confusing: equality test or non-empty string test
0555	bool-parse	Allowed: [[ = ]] and [[ == ]]
0556	bool-parse	Not allowed: [[ ) ]] and [[ ( ]]
0557	bool-parse	test builtin: ( x ) behavior is the same in both cases
0558	bool-parse	[ -f = ] and [ -f == ]
0559	bool-parse	[[ -f -f ]] and [[ -f == ]]
0560	brace-expansion	no expansion
0561	brace-expansion	incomplete trailing expansion
0562	brace-expansion	partial leading expansion
